id,id_questao_origem,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,ha_imagem,comentario,simulado_numero
11,[302110],Mercado Financeiro e Economia,"Uma indústria de metais vende equipamentos pelo valor de R$ 7.200,00, através de sua equipe de vendas. Para realizar este produto, a empresa tem um custo de matéria prima de R$ 4.000,00. Sabendo que os vendedores recebem R$ 1.000,00 por cada venda e que o imposto de renda (IRPJ) é de 15%, que o PIB gerado por essa companhia, através da ótica do valor adicionado, é de:","R$ 2.200,00","R$ 2.720,00","R$ 3.200,00","R$ 7.200,00",C,NAO,,1
12,[302280],Produtos e Investimentos,"Um determinado investidor deseja comprar um imóvel no valor de R$ 535 mil. Sabendo que ele possui uma aplicação ﬁnanceira em Renda Fixa no valor de R$ 150 mil que rende 0,75% líquido ao mês, e que o mesmo irá realizar aportes mensais no valor de R$ 3.150,00 nessa mesma aplicação, em quantos meses ele conseguirá comprar o imóvel, caso deseja pagar à vista?",70 meses,88 meses,110 meses,170 meses,A,NAO,,1
13,[302337],"Análise, Planejamento e Gestão","Rafael fez um investimento de R$ 150.000,00 e recebeu o seguinte ﬂuxo: ● Caixa gerado no ﬁnal do primeiro ano: R$ 11.250,00 ● Caixa gerado no ﬁnal do segundo ano: R$ 11.250,00 ● Caixa gerado no ﬁnal do terceiro ano: R$ 161.250,00 Considerando um custo de oportunidade de 7% ao ano, o Valor Presente Líquido (VPL) aproximado deste investimento é de:","- R$ 1.968,00","+ R$1.968,00","- R$ 4.923,00","+ R$ 4.923,00 3",B,NAO,,1
14,[104186],Sistema Financeiro e Regulação,"O Comite de Politica Monetária COPOM, em ata de sua reunião ordinária informou que, diante dos sinais de forte recuperação da demanda doméstica, pode-se projetar uma elevação da média dos índices de inﬂação. Um especialista em investimento, após a leitura desse documento, enquanto perdurar tais expectativas quanto aos índices de inﬂação, recomendará a seus clientes que: I – reduzam as aplicações em Letras Financeiras do Tesouro - LFT. II – aumentem as aplicações indexadas ao DI. III – aumentem o prazo médio das aplicações de renda ﬁxa preﬁxadas. Está correto o que se aﬁrma em","I, II e III.","II e III, apenas.","III, apenas.","II, apenas.",D,NAO,,1
15,[204120],Produtos e Investimentos,"Um cliente possui os seguintes ativos: I – LCI (Letra de Crédito Imobiliário) II – LCA (Letra de Crédito do Agronegócio) III – CRA (Certiﬁcado de Recebimento do Agronegócio) IV – Operação Compromissada lastreada em Debêntures, emitido por empresa ligada em 2014. Em relação a proteção do FGC, os ativos que possuem esta garantia são:","I e II, apenas.","II e III, apenas.","I, II e IV, apenas.","I, III e IV, apenas.",C,NAO,,1
16,[303130],Produtos e Investimentos,"Um cliente investiu R$ 100.000,00 em um CDB com rentabilidade de 100% do CDI durante 270 dias úteis (390 dias corridos). Sabendo que no momento do resgate, a taxa do CDI do período foi de 11,75% e ele teve mais um spread de 0,65% ao ano, qual foi o valor aproximado do resgate líquido?","R$ 110.018,00","R$ 110.336,00","R$ 111.312,00","R$ 112.530,00",B,NAO,,1
17,[303510],Mercado Financeiro e Economia,"Em uma operação de Repurchase Agreement, podemos aﬁrmar que:",A taxa repo da operação é recebida pelo mutuário.,"Enquanto o comprador repo deter os títulos que estão servindo de colateral da operação, os cupons que forem pagos são geralmente repassados diretamente ao vendedor da repo.",O vendedor da repo é quem recebe a taxa de juros da operação.,"O comprador da repo vende os títulos no início da operação para, em um segundo momento, recompra-los pagando também a “taxa de recompra”. 4",B,NAO,,1
18,[302354],Produtos e Investimentos,"O patrimônio líquido de uma empresa é de R$ 20.000.000,00 e sua dívida total é de R$ 90.000.000,00. A empresa tem custo médio da dívida igual a 11,00% a.a., custo de capital próprio de 18,00% a.a. e está sujeita à aliquota do Imposto de Renda de 25,00% sobre o lucro líquido. O Custo Médio Ponderado de Capital dessa empresa é, aproximadamente,","9,20% a.a.","10,02% a.a.","11,45% a.a.","12,27% a.a.",B,NAO,,1
19,[302368],Produtos e Investimentos,"Uma empresa apresentou, ao ﬁnal do último Exercício Social de 2015, as seguintes Demonstrações de Resultados dos Exercícios de 2014 e 2015:","R$ 21.800,00","R$ 9.960,00","R$ 17.600,00","R$ 14.600,00",C,SIM,,1
20,[104201-A],Produtos e Investimentos,"Para adesão ao segmento especial de listagem Nível 1 da B3, as empresas listadas devem:",Disponibilizar balanços semestrais seguindo os padrões do International Financial Reporting Standards (IFRS).,"possuir, no mínimo, 20% de conselheiros independentes no Conselho de Administração.","Comprometer-se em manter, no mínimo, 25% das suas ações em circulação no mercado.",possuir no seu capital exclusivamente ações ordinárias com direito a voto. 5,B,NAO,,1
21,[303239],"Análise, Planejamento e Gestão",O quadro abaixo apresenta o preço de mercado e o lucro por ação de quatro empresas que atuam no mesmo segmento e fazem parte da carteira de um mesmo investidor.,Venda de X e W; e compra de Y,Venda de X e Y; e compra de W e Z,Venda de W e Z; e compra de X e Y,Venda de W e Y; e compra de X,A,SIM,,1
22,[204387],Produtos e Investimentos,"O lançador de uma opção de compra (call) de dólar norte-americano negociada na Bolsa de Valores, no vencimento, terá",o direito de vender a moeda.,a obrigação de comprar a moeda.,a obrigação de vender a moeda.,o direito de comprar a moeda.,C,NAO,,1
23,[303323],Produtos e Investimentos,A operação com opções chamada Strangle se caracteriza por:,"Comprar uma put e uma call do mesmo ativo-objeto, com igual vencimento, mas com preços de exercício diferentes.","Comprar uma put e uma call do mesmo ativo-objeto, com vencimento diferentes, mas com preços de exercício iguais.","Comprar duas calls do mesmo ativo-objeto, com vencimentos diferentes e com preço de exercícios diferentes.","Comprar duas puts do mesmo ativo-objeto, com igual vencimento, mas com preço de exercícios diferentes.",A,NAO,,1
24,[204145],Produtos e Investimentos,"Uma instituição ﬁnanceira acaba de emitir um COE (Certiﬁcado de Operações Estruturadas), produzindo o DIE (Documento de Informações Essenciais), que especiﬁca as características do produto e o termo de Adesão e Ciência de Risco (TA) dessa emissão. No momento da distribuição aos investidores não proﬁssionais, a instituição deve",obrigatoriamente entregar o DIE e colher a assinatura no TA.,opcionalmente entregar o DIE e obrigatoriamente colher a assinatura no TA.,opcionalmente entregar o DIE e colher a assinatura no TA.,obrigatoriamente entregar o DIE e opcionalmente colher a assinatura no TA. 6,A,NAO,,1
25,[104462],Produtos e Investimentos,Um pessoa física efetuou as seguintes operações com ações em Bolsa de Valores:,"sujeitos à incidência do Imposto de Renda à alíquota de 20,00%.","isentos do Imposto de Renda, devido ao reduzido valor das alienações.","isentos do Imposto de Renda, devido ao reduzido valor de aquisição das ações.","sujeitos à incidência do Imposto de Renda à alíquota de 15,00%.",D,SIM,,1
26,[303416],Produtos e Investimentos,"Guilherme comprou 50 contratos de Índice Futuro a 60.200 pontos e vendeu no mesmo dia, na mesma corretora esses mesmos contratos a 60.600 pontos. Desta forma, o valor do I.R. retido na fonte será de:","R$ 0,00","R$ 1,00","R$ 200,00","R$ 3.000,00",C,NAO,,1
27,[303441],Produtos e Investimentos,"Um brasileiro, residente no Brasil, comprou ações de uma empresa brasileira e também comprou ADRs de uma empresa de Londres. Caso ele receba dividendos em ambas as posições, o Imposto de Renda que deverá ser recolhido pelo investidor, respectivamente nestas operações, será de:",Isento e isento.,Isento e 15%.,"Isento e carne leão até 27,5%.","Carne leão até 27,5% e isento.",B,NAO,,1
28,[105123],Sistema Financeiro e Regulação,"De acordo com a Resolução CVM 175, em casos excepcionais de iliquidez dos ativos componentes da carteira, inclusive em decorrência de pedidos de resgates incompatíveis com a liquidez existente, ou que possam implicar alteração do tratamento tributário do fundo ou do conjunto dos cotistas em prejuízos destes últimos, o administrador, o gestor ou ambos, de acordo com o disposto no Regulamento, podem declarar:",a falência do fundo.,a substituição dos prestadores de serviços essenciais.,a transformação da classe aberta para classe fechada.,o fechamento da classe de cotas para realização de resgates. 7,D,NAO,,1
29,[105140],Produtos e Investimentos,"A classe aberta de um fundo de investimento está investindo em renda ﬁxa, através de CDBs de instituições ﬁnanceiras e outros ativos ﬁnanceiros de crédito privado. Com relação a gestão de liquidez, podemos aﬁrmar que:","O gestor de recursos e o administrador ﬁduciário, conjuntamente, são responsáveis pela liquidez da classe de cotas.","O administrador ﬁduciário, exclusivamente, é o responsável pela liquidez da classe de cotas.","O gestor de recursos, exclusivamente, é o responsável pela liquidez da classe de cotas.","Os cotistas são responsáveis pela gestão da liquidez do fundo, através da deﬁnição do Regulamento.",A,NAO,,1
30,[105303],Produtos e Investimentos,Considere a rentabilidade trimestral (expressa abaixo em percentual do CDI) de duas classes tipiﬁcadas como Renda Fixa Referenciado DI.,B é alavancado.,A apresenta retornos mais coerentes com a sua classiﬁcação.,B apresenta retornos mais coerentes com a sua classiﬁcação.,A é alavancada.,B,SIM,,1
31,[105337],Produtos e Investimentos,"Um fundo de investimento aplica seus recursos exclusivamente em títulos públicos de longo prazo indexados ao dólar. Durante um certo período, a variação do dólar comercial à vista foi 14,5% e, no entanto, a classe rendeu apenas 8,5%. Essa diferença, provavelmente, deveu-se à:",baixa do cupom cambial no mercado brasileiro.,baixa das taxas de juro em dólar no mercado norte-americano.,alta das taxas de juro em dólar no mercado norte americano.,alta do cupom cambial no mercado brasileiro.,D,NAO,,1
32,[205202],Produtos e Investimentos,Dois fundos passivos de renda ﬁxa com benchmark ao CDI apresentaram as seguintes remunerações mês a mês:,Fundo A é mais correlacionado com seu benchmark.,Fundo B é mais correlacionado com seu benchmark.,Fundos A e B são igualmente correlacionados a seus benchmarks.,Não é possível tirarmos conclusões somente com a remuneração de cada fundo. 8,A,SIM,,1
33,[205314],Produtos e Investimentos,São características das classes:,"exclusivas serem voltados para um segmento de mercado, como empresas do segmento de energia elétrica.",tipiﬁcadas como multimercados serem fechadas.,"tipiﬁcadas como ações, por determinação legal, não poderem comprar cotas de outros fundos.",fechadas serem aqueles em que os cotistas não podem resgatar as suas cotas.,D,NAO,,1
34,[205323],Produtos e Investimentos,Avalie as alternativas abaixo à respeito dos Fundos Imobiliários (FII): I – Pode ser composto por investidores de varejo ou investidores qualiﬁcados. II – As classes de cotas são constituídas sob a forma de regime fechado. III – Permite a utilização de derivativos apenas para proteção de carteira. Está correto o que se aﬁrma em:,"I, apenas.","II, apenas.","I e III, apenas.","I, II e III.",D,NAO,,1
35,[205325],Produtos e Investimentos,"Sobre o FIDC, analise as alternativas a seguir: I – Somente pode investir em direitos creditórios. II – Pode ser constituído como regime aberto ou regime fechado. III – Somente pode ser objeto de oferta para investidores qualiﬁcados. IV – Podem possuir cotas Subordinadas, Sênior e Ordinária Está correto o que se aﬁrma APENAS em:",II,II e III,"II, III e IV",I e IV,A,NAO,,1
36,[105540],Produtos e Investimentos,"A compensação de imposto de renda em aplicações em fundos de investimento pode ser: I – Feita pelo investidor, mesmo que ainda não tenha vendido suas cotas com prejuízo. II – Feita apenas entre fundos de mesmo tratamento tributário. III – Declarada no IRPF (Imposto de Renda Pessoa Física), deduzindo a base de cálculo do imposto a ser pago, na declaração de ajuste anual. Está correto o que se aﬁrma em:","I, apenas.","II, apenas.","I e III, apenas.","II e III, apenas.",B,NAO,,1
37,[205504],Produtos e Investimentos,"Um investidor adquiriu cotas de um fundo de renda variável no valor de R$ 200.000,00 e, após 60 dias, as vendeu integralmente por R$ 220.000,00. Nesse caso, o agente responsável pelo recolhimento dos tributos é o:",gestor,administrador,custodiante,investidor 9,D,NAO,,1
38,[105604],Sistema Financeiro e Regulação,"Dentre as alternativas abaixo, o Código ANBIMA de Regulação e Melhores Práticas para Administração de Recursos de Terceiros não se aplica:","Clube de Investimentos, apenas.","Fundo Exclusivo, apenas.","FIP, apenas.",FIP e Clube de Investimentos.,A,NAO,,1
39,[105617],Sistema Financeiro e Regulação,"De acordo com o Código Anbima de Administração de Recursos de Terceiros, representam obrigações do Gestor de Recursos:",elaboração de todos os documentos relacionados aos fundos.,"constituição, administração, funcionamento e divulgação de informações dos fundos.","negociação, alocação e rateio das ordens dos veículos de investimento, quando aplicável.","controle dos ativos ﬁnanceiros da carteira, despesas e encargos sobre eles incidentes.",C,NAO,,1
40,[105627],Sistema Financeiro e Regulação,"O apreçamento é deﬁnido, segundo o Código Anbima de Regulação e Melhores Práticas para Administração e Gestão de Recursos de Terceiros, como a preciﬁcação dos ativos de fundos de investimentos, pelo:","preço médio, se esses ativos pertencerem a classe de renda ﬁxa ou pelo preço de fechamento do mercado.","preço de aquisição, se esses ativos pertencerem a classe de renda ﬁxa ou pelo preço médio se forem de renda variável.","preço de mercado, se esses ativos forem líquidos ou por estimativa, se forem ilíquidos.","preço de fechamento, se esses ativos forem líquidos ou pelo último preço negociado, se forem ilíquidos.",C,NAO,,1
41,[106302],Produtos e Investimentos,A portabilidade permite que haja transferências:,"De PGBL para PGBL, de VGBL para VGBL, de PGBL para VGBL, de VGBL para PGBL, todas sem imposto de renda.","Sem imposto de renda quando for PGBL para PGBL, ou de VGBL para VGBL. Com imposto de renda quando for de PGBL para VGBL, ou de VGBL para PGBL.","De PGBL para PGBL, de VGBL para VGBL com imposto de renda.","De PGBL para PGBL, de VGBL para VGBL sem imposto de renda. 10",D,NAO,,1
42,[106340],Produtos e Investimentos,"Guilherme possui um plano de previdência do tipo PGBL no qual investe 100% dos recursos em renda ﬁxa. Certo dia, ele vai ao banco e informa ao seu gerente que agora ele está mais propenso ao risco e gostaria de trocar sua aplicação para um outro plano de previdência que aplique até 30% em renda variável. Desta forma, o gerente poderia informar que ele:","Poderá trocar de perﬁl e realizar a portabilidade para outro plano, porém haverá cobrança de Imposto de Renda no momento da realização da transferência.","Poderá trocar de perﬁl e realizar a portabilidade para outro plano, não havendo cobrança de Imposto de Renda no momento da realização da transferência, caso ele permaneça em um plano do tipo PGBL.","Uma vez deﬁnido o perﬁl do investidor em planos de previdência, não poderá mais ser feita a portabilidade para planos mais arrojados, mas poderá resgatar os recursos pagando imposto de renda e realizar novos aportes em planos mais arrojados.","Poderia trocar de plano fazendo uma portabilidade sem cobrança de imposto de renda, desde que contratasse um seguro de vida também.",B,NAO,,1
43,[106522],Produtos e Investimentos,"Um cliente possui dois planos de previdência com os mesmos valores acumulados e mesmos prazos, decidiu fazer um resgate total. O primeiro plano era um PGBL regressivo e o segundo, um VGBL progressivo. No momento dele realizar o resgate, o cliente pergunta ao seu gerente como ele deverá declarar esses valores no seu Imposto de Renda. Este gerente responde corretamente que os valores resgatados deverão ser declarados, respectivamente, em:",Rendimentos Tributáveis recebidos de Pessoa Jurídica e Rendimentos Sujeitos à Tributação Exclusiva.,Rendimentos Sujeitos à Tributação Exclusiva e Rendimentos Tributáveis recebidos de Pessoa Jurídica.,"Rendimentos Sujeitos à Tributação Exclusiva, ambos os valores.","Rendimentos Tributáveis recebidos de Pessoa Jurídica, ambos os valores.",B,NAO,,1
44,[106606],Produtos e Investimentos,"João tem 55 anos e pretende se aposentar aos 60 anos de idade. Ele possui um plano de previdência privada AT 83 + 0%, com tabela regressiva, e tem intuito de converter os recursos em uma renda temporária por 20 anos. Certo dia, um assessor de investimentos, que é amigo do seu ﬁlho, oferta a portabilidade desses recursos a outra instituição ﬁnanceira, pois possui uma taxa de administração menor. Sabendo que ele já contribui há mais de 15 anos neste plano, João:",Deve realizar a portabilidade apenas se a tábua atuarial for igual ou mais antiga que a atual.,Deve realizar a portabilidade apenas se a tábua atuarial for igual ou mais nova que a atual.,"Deve realizar a portabilidade, pois nesse tipo de renda, é indiferente a tábua atuarial.","Não deve realizar a portabilidade, pois ele já contribui há mais de 10 anos no plano atual e faria ele recomeçar do zero a contagem da tabela regressiva. 11",A,NAO,,1
45,[305201],Produtos e Investimentos,"Um investidor deseja na sua aposentadoria, uma renda vitalícia de R$ 10.000,00. Sabendo que o INSS pagará uma aposentadoria de R$ 2.800,00, quanto ele precisará ter acumulado? Considere que a taxa da aplicação renderá 0,60% ao mês e o imposto de renda sobre as aplicações de 15%.","R$ 1.200.000,00","R$ 1.411.764,00","R$ 1.454.681,00","R$ 1.960.784,00",B,NAO,,1
46,[305211],Produtos e Investimentos,"Guilherme tem o desejo de atingir sua independência ﬁnanceira em 25 anos. Ele lhe informa que já tem acumulado R$ 100.000,00 e que, para atingir seu objetivo, necessita de uma renda perpétua de R$ 20.000,00 mensais. Na sua projeção, ele estima que os recursos terão um retorno mensal de 0,80% a partir de hoje. Diante dessas informações, para que ele possa atingir seu objetivo, Guilherme deveria fazer aportes mensais até a sua independência ﬁnanceira no valor aproximado de:","R$ 1.135,00","R$ 2.016,00","R$ 2.897,00","R$ 14.245,00",A,NAO,,1
47,[305524],Produtos e Investimentos,"Rafael possui uma renda tributável de R$ 120.000,00 por ano e lhe diz que deseja fazer um uma previdência para o ﬁlho ter uma renda mensal de R$ 1.000,00 para custear a faculdade daqui 5 anos. Sabendo que ele já contribuiu R$ 15.000,00 no ano em um PGBL em seu nome, qual das seguintes alternativas é a mais recomendada?",VGBL tabela progressiva.,VGBL tabela regressiva.,PGBL tabela progressiva.,PGBL tabela regressiva.,A,NAO,,1
48,[305525],Produtos e Investimentos,"Rafael contribuiu R$ 1.350,00 por mês durante 15 anos em um VGBL. Sabendo que ele deseja resgatar todo o valor acumulado e teve uma rentabilidade bruta de 8% ao ano, qual o valor aproximado do imposto de renda que lhe será descontado na fonte, sabendo que ele havia optado pela tabela compensável?","R$ 21.276,00","R$ 31.915,00","R$ 45.576,00","R$ 68.365,00",B,NAO,,1
49,[306313],"Análise, Planejamento e Gestão","Uma carteira aplica no ativo A com retorno esperado de 10%, no ativo B com retorno esperado de 12% e no ativo C com retorno esperado de 20%. Qual é o retorno esperado da carteira se os pesos dos ativos A, B e C são respectivamente 60%, 30% e 10%?","11,6%","14,0%","16,6%",Não é possível calcular o retorno esperado sem saber as covariâncias entre os retornos dos produtos 12,A,NAO,,1
50,[306301],Produtos e Investimentos,"Analisando os ativos abaixo, qual a melhor escolha para um investidor racional segundo o princípio da dominância?","Se o investidor for neutro ao risco, será indiferente na escolha.","Se o investidor for avesso ao risco, escolherá o ativo X.","Se o investidor for propenso ao risco, escolherá o ativo Y",Sempre será indiferente a escolha do investidor,A,SIM,,1
51,[306361],"Análise, Planejamento e Gestão","Um investidor possui R$ 20.000,00 no ativo X e R$ 50.000,00 no ativo Y, no qual possuem, respectivamente, volatilidade de 15% e de 5%. Sabendo que esses ativos possuem um coeﬁciente de correlação de 0,65, você como proﬁssional do mercado ﬁnanceiro, responde ao cliente que o risco da carteira é de:","1,89%","5,16%","7,14%","8,77%",C,NAO,,1
52,[306513],Produtos e Investimentos,Um investidor possui as seguintes aplicações:,Vender a NTN-F; e comprar LFT e LTN.,Vender LFT; e comprar LTN e NTN-F.,Vender LTN e NTN-F; e comprar LFT.,Manter a carteira com está. 13,C,SIM,,1
53,[306506],Produtos e Investimentos,"Um comitê de um fundo de pensão se reúne a cada 6 meses para fazer o rebalanceamento da carteira. Em janeiro de 2020, eles se reuniram e perceberam que a composição do fundo não estava de acordo com a política de investimentos. No entanto, durante a reunião, decidiram não rebalancear conforme a política de investimentos, mantendo a carteira como estava, conforme tabela abaixo:","–18,80%; – 0,82%","–18,80%; + 0,82%","–19,62%; – 0,82%","–19,62%; + 0,82%",C,SIM,,1
54,[306360],"Análise, Planejamento e Gestão","Sobre a Capital Market Line (CML), assinale a alternativa correta:",É a fronteira eﬁciente.,É onde localizam-se as carteiras com a maior rentabilidade possível.,"É a carteira de mercado, onde o investidor estará 100% comprado em mercado.","É uma evolução ao Modelo de Markowitz, ao adicionar um ativo livre de risco à fronteira eﬁciente",D,NAO,,1
55,[306601],Produtos e Investimentos,"Qual das instituições abaixo, possui menor risco de insolvência?",A,B,C,D 14,B,SIM,,1
56,[207303],"Análise, Planejamento e Gestão","A perda do VaR (Value at Risk) da carteira investimentos de um cliente, já superou em 8%. Qual o procedimento correto que o gestor contratado deve tomar?",Se valer de derivativos para aumentar a posição direcional da carteira de investimentos.,"Solicitar novos aportes ao cliente, para se valer da estratégia de preço médio.",Recalcular o Back Test da carteira de investimentos.,Acionar o Stop Loss.,D,NAO,,1
57,[207329],Produtos e Investimentos,"Considere as seguintes aﬁrmativas sobre o Tracking Error: I – Serve para mensurar o risco do ativo não entregar o seu devido benchmark. II – Quanto maior o seu valor, maiores são as oscilações perante o benchmark. III – Quanto menor o índice, menor a aderência do fundo em relação ao seu parâmetro de performance. Está correto o que se aﬁrma apenas em:","I, apenas","II, apenas","I e II, apenas","I, II e III",C,NAO,,1
58,[306408],Produtos e Investimentos,"Considere que no último ano o Ibovespa teve retorno de 30%, desvio padrão de 23%, beta de 2,0 e a TLR foi de 5%. Avalie os fundos abaixo e indique quais foram melhores que o Ibovespa segundo índice de Sharpe:",A e B.,B e C.,C e D.,B e D.,C,SIM,,1
59,[102316],Produtos e Investimentos,Em um processo de API qual dos fatores abaixo não é levado em consideração:,Situação ﬁnanceira.,Objetivo de investimento.,Experiência em investimento.,Cenário macroeconômico. 15,D,NAO,,1
60,[102337],Sistema Financeiro e Regulação,"Segundo a Resolução nº 30 da CVM, os proﬁssionais que fazem recomendação de produtos de investimento para clientes têm o dever, dentre outras atribuições, de veriﬁcar se I – a situação ﬁnanceira do cliente é compatível com o produto, serviço ou operação apresentada. II – o produto, serviço ou operação é adequado aos objetivos de investimento do cliente. III – o cliente possui conhecimento necessário para compreender os riscos relacionados ao produto, serviço ou operação apresentada. Está correto o que se aﬁrma em","I e III, apenas.","I, II e III.","II e III, apenas.","I e II, apenas.",B,NAO,,1
61,[202608],Produtos e Investimentos,"Um investidor, que está considerando adquirir ações de uma empresa, assiste a uma palestra onde o apresentador fornece apenas dados positivos sobre a companhia, enaltecendo o retorno acima de 20% ao ano, registrado nos últimos 3 anos. O investidor decide então, por comprar a ação, mas, quando solicita que o corretor execute a ordem de compra, recebe um relatório aﬁrmando que o retorno dessa ação ajustado ao risco nos últimos 3 anos, foi bastante desfavorável. Isso faz com que o investidor desista de comprar a ação. Nesse caso, pode-se aﬁrmar que esse investidor apresenta o comportamento viesado conhecido por:",Framing,Auto Atribuição,Desconto Hiperbólico,Aversão a perdas,A,NAO,,1
62,[202649],Produtos e Investimentos,"Segundo a Teoria de Finanças Comportamentais, a estratégia adotada pelos investidores ao tomarem o primeiro preço de compra de uma ação como referência e, a partir desse preço estimar o desempenho futuro dessa ação, é uma consequência da aplicação da heurística denominada:",aversão ao risco.,disponibilidade.,ancoragem.,representatividade.,C,NAO,,1
